gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
Ocupat_v02_G036012	Wap/Wfdc17/Wfdc18/Wfdc2/Wfdc21/Wfdc3	WAP	19912	94.1	294.32	no
Ocupat_v02_G018672			5279	89.46	139.92	no
Ocupat_v02_G018434			4718	93.63	125.49	no
Ocupat_v02_G039915		Trefoil	4820	83.8	123.32	no
Ocupat_v02_G020595			3949	93.96	84.21	no
Ocupat_v02_G037112		Trefoil/Trefoil/Trefoil/Trefoil	5895	58	77.31	no
Ocupat_v02_G034340	Ccn1/Ccn2/Ccn3/Ccn4/Ccn5/Ccn6		3734	94.06	76.3	no
Ocupat_v02_G018641			3443	93.61	65.72	no
Ocupat_v02_G018433			2712	94.23	63.2	no
Ocupat_v02_G036010	Wap/Wfdc17/Wfdc18/Wfdc2/Wfdc21/Wfdc3	WAP	2154	93.82	51.53	no
Ocupat_v02_G038535	Dpt	DERM	2133	67.69	50.01	no
Ocupat_v02_G033962		Laminin_G_3/F5_F8_type_C/Sushi	1880	92.79	49.52	no
Ocupat_v02_G002255			1954	95.22	48.13	no
Ocupat_v02_G016446	Apcs/Crp/Mptx1/Mptx2/Nptx1/Nptx2/Nptxr/Ptx3/Ptx4	Pentaxin	1600	94.79	43.55	no
Ocupat_v02_G022179		Trefoil/Trefoil	9611	25.7	41.18	no
Ocupat_v02_G018887			1181	61.1	39.42	no
Ocupat_v02_G017035			1389	89.73	34.91	no
Ocupat_v02_G020154		VWA/Ephrin_rec_like/Sushi/Sushi/Sushi/HYR/HYR/Ephrin_rec_like/Ephrin_rec_like/Ephrin_rec_like/EGF/EGF/EGF/EGF/hEGF/Pentaxin/EGF/Sushi/EGF_CA/FXa_inhibition/FXa_inhibition/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/CUB/CUB	1275	88.85	33.08	no
Ocupat_v02_G040641	Birc6	BIR/BIRC6/UQ_con	1582	38.07	31.97	no
Ocupat_v02_G018435		VWA/Sushi/Sushi/HYR/Ephrin_rec_like/Ephrin_rec_like/Ephrin_rec_like/EGF/EGF/EGF/EGF/hEGF/Pentaxin/F5_F8_type_C/EGF/Sushi/EGF_CA/FXa_inhibition/FXa_inhibition/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/CUB/CUB	1454	93.03	31.4	no
Ocupat_v02_G016997		FXa_inhibition/EGF_CA/EGF_CA/Sushi/Sushi/HYR/HYR/Ephrin_rec_like/Ephrin_rec_like/Ig_3	1177	89.03	31.23	no
Ocupat_v02_G044469			1318	92.69	30.19	no
Ocupat_v02_G018440		VWA/Ephrin_rec_like/Sushi/Sushi/Sushi/HYR/HYR/Ephrin_rec_like/Ephrin_rec_like/Ephrin_rec_like/EGF/EGF/EGF/EGF/hEGF/Pentaxin/F5_F8_type_C/EGF/Sushi/EGF_CA/cEGF/FXa_inhibition/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/CUB/CUB	895	84.35	29.21	no
Ocupat_v02_G020597			1013	92.6	27.26	no
Ocupat_v02_G002884			1025	88.74	26.93	no
Ocupat_v02_G030200			1229	10.85	24.73	no
Ocupat_v02_G022181		Trefoil/Trefoil	2740	20.83	24.42	no
Ocupat_v02_G010424			966	93.6	24.31	no
Ocupat_v02_G040353			1239	94.08	23.29	no
Ocupat_v02_G031088			1434	93.48	22.77	no
Ocupat_v02_G022182		Trefoil/Trefoil	5188	16.26	22.28	no
Ocupat_v02_G019529		PLAT/EGF_CA/EGF_CA/EGF_CA/EGF_CA/Sushi/Sushi/HYR/HYR/Ephrin_rec_like/Ephrin_rec_like	942	91.63	21.9	no
Ocupat_v02_G035148			1211	59.02	21.48	no
Ocupat_v02_G007841			822	88.77	19.16	no
Ocupat_v02_G008179		Fibrinogen_C/Gal_Lectin	1562	65.69	18.93	no
Ocupat_v02_G002256		EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF	763	93.97	18.75	no
Ocupat_v02_G020146		F5_F8_type_C/FXa_inhibition/FXa_inhibition/EGF_CA/EGF_CA/EGF_CA/Sushi/Sushi/HYR/Ephrin_rec_like/Ephrin_rec_like/Ig_3	679	87.73	17.02	no
Ocupat_v02_G020594			598	93.15	17.02	no
Ocupat_v02_G031087			724	92.11	15.89	no
Ocupat_v02_G013512	Calm4	EF-hand_7/EF-hand_7/EF-hand_7/EF-hand_7	589	12.79	15.54	no
Ocupat_v02_G039332		COLFI	655	91.99	15.48	no
Ocupat_v02_G019528		PLAT	598	90.74	15.35	no
Ocupat_v02_G008163	Angpt1/Angpt2/Angpt4/Angptl1/Angptl2/Angptl3/Angptl4/Angptl6/Angptl7/Fcna/Fcnb/Fga/Fgb/Fgg/Fgl1/Fgl2/Fibcd1/Igsf23/Mfap4/Tnc/Tnn/Tnr/Tnxb	Fibrinogen_C	516	88.36	14.49	no
Ocupat_v02_G002246		EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF	739	93.19	14.42	no
Ocupat_v02_G035145		ApeC	626	12.78	14.03	no
Ocupat_v02_G002247	Cemip/Cemip2/Fam3a/Fam3b/Fam3c/Oit1	ILEI/ILEI/ILEI/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/hEGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF	464	90.98	13.63	no
Ocupat_v02_G024803			396	67.01	13.63	no
Ocupat_v02_G018882			1014	94.5	12.97	no
Ocupat_v02_G020151		F5_F8_type_C/EGF_CA/FXa_inhibition/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/FXa_inhibition/EGF_CA/Sushi/Sushi/HYR/Ephrin_rec_like/Ephrin_rec_like	539	90.59	12.95	no
Ocupat_v02_G019713		Ephrin_rec_like/Sushi/Sushi/Sushi/Ephrin_rec_like/Sushi/Sushi	407	84.79	12.82	no
Ocupat_v02_G039334		Fibrinogen_C	455	92.86	12.76	no
Ocupat_v02_G018853		HYR/HYR/Sushi/Ephrin_rec_like/Ephrin_rec_like	435	80.71	12.62	no
