gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
Ocupat_v02_G002649			137051	97.82	1431.98	no
Ocupat_v02_G033133		Lectin_C	30483	97.79	589.62	no
Ocupat_v02_G002802			9841	97.19	159.4	no
Ocupat_v02_G018012			8487	97.55	128.22	no
Ocupat_v02_G024235			6786	98.02	126.79	no
Ocupat_v02_G012822		Phospholip_A2_3	2871	92.08	52.56	no
Ocupat_v02_G038858	Dpt	DERM	3790	98.6	50.3	no
Ocupat_v02_G024239			1760	91.91	45.39	no
Ocupat_v02_G026094			3306	89.28	42.01	no
Ocupat_v02_G024236			2264	86.28	41.82	no
Ocupat_v02_G009038			4768	96.25	41.54	no
Ocupat_v02_G029052	Apcs/Crp/Mptx1/Mptx2/Nptx1/Nptx2/Nptxr/Ptx3/Ptx4	Pentaxin	1408	98.74	37.74	no
Ocupat_v02_G030204			1485	72.58	37.17	no
Ocupat_v02_G028085	Angpt1/Angpt2/Angpt4/Angptl1/Angptl2/Angptl3/Angptl4/Angptl6/Angptl7/Fcna/Fcnb/Fga/Fgb/Fgg/Fgl1/Fgl2/Fibcd1/Igsf23/Mfap4/Tnc/Tnn/Tnr/Tnxb	Fibrinogen_C	2946	93.32	35.48	no
Ocupat_v02_G024232			1271	95.85	30.99	no
Ocupat_v02_G042030	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		1669	98.47	30.56	no
Ocupat_v02_G017394			1306	68.13	29.98	no
Ocupat_v02_G001711			2078	92.73	27.93	no
Ocupat_v02_G041361	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		1355	93.38	26.17	no
Ocupat_v02_G040869	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		1138	93.82	24.95	no
Ocupat_v02_G025865	Angpt1/Angpt2/Angpt4/Angptl1/Angptl2/Angptl3/Angptl4/Angptl6/Angptl7/Fcna/Fcnb/Fga/Fgb/Fgg/Fgl1/Fgl2/Fibcd1/Igsf23/Mfap4/Tnc/Tnn/Tnr/Tnxb	Fibrinogen_C	1917	96.72	24.83	no
Ocupat_v02_G024240			959	93.38	23.43	no
Ocupat_v02_G024233			1294	53.25	23.4	no
Ocupat_v02_G000653			1880	83.3	22.89	no
Ocupat_v02_G017570	Apcs/Crp/Mptx1/Mptx2/Nptx1/Nptx2/Nptxr/Ptx3/Ptx4	Pentaxin	2040	96.59	21.77	no
Ocupat_v02_G041347	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		985	97.82	21.76	no
Ocupat_v02_G016165	Aebp1/Cpxm1/Cpxm2/Dcbld1/Dcbld2/Edil3/F5/F8/Ly75/Mfge8/Mrc1/Mrc2/Nrp1/Nrp2/Pla2r1/Rs1	F5_F8_type_C	950	98.34	20.75	no
Ocupat_v02_G029054	Apcs/Crp/Mptx1/Mptx2/Nptx1/Nptx2/Nptxr/Ptx3/Ptx4	Pentaxin/Pentaxin	1676	43.24	20.59	no
Ocupat_v02_G023557	Pxylp1	His_Phos_2/His_Phos_2	6491	97.26	20.35	no
Ocupat_v02_G041343	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		804	95.49	19.75	no
Ocupat_v02_G018011			2612	83.26	19.43	no
Ocupat_v02_G017095	Aebp1/Cpxm1/Cpxm2/Dcbld1/Dcbld2/Edil3/F5/F8/Ly75/Mfge8/Mrc1/Mrc2/Nrp1/Nrp2/Pla2r1/Rs1	F5_F8_type_C/F5_F8_type_C	866	97.41	19.35	no
