gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
Ocupat_v02_G042758			31873	49.7	405.88	no
Ocupat_v02_G008938			3876	76.33	137.1	no
Ocupat_v02_G025032	Dpt	DERM	4678	97.01	123.73	no
Ocupat_v02_G035313			7866	97.08	118.54	no
Ocupat_v02_G035325			6634	96.86	99.37	no
Ocupat_v02_G035145		ApeC	3085	63	84.42	no
Ocupat_v02_G035318			5111	98.36	73.28	no
Ocupat_v02_G008933			5744	98.07	61.33	no
Ocupat_v02_G008607			1282	84.73	58.15	no
Ocupat_v02_G013169	Cthrc1		1457	95.23	51.93	no
Ocupat_v02_G034457			5770	96.31	50.78	no
Ocupat_v02_G018008			3778	94.69	49.26	no
Ocupat_v02_G017647			1813	77.48	44.46	no
Ocupat_v02_G008937			1497	98.04	35.83	no
Ocupat_v02_G018670			1187	95.57	35.55	no
Ocupat_v02_G012959	Cthrc1	Collagen/Collagen	2956	97.4	31.34	no
Ocupat_v02_G008934			6266	97.62	30.18	no
Ocupat_v02_G018887			617	31.92	28.07	no
Ocupat_v02_G037118		Trefoil/Trefoil/Trefoil	946	38.25	25.67	no
Ocupat_v02_G034456			808	88.89	25.44	no
Ocupat_v02_G018880			784	37.69	24.95	no
Ocupat_v02_G040760			834	95.97	24.4	no
Ocupat_v02_G008057	Cd248/Cd302/Clec11a/Clec2m/Clec3a/Clec3b/Colec10/Colec11/Frem1/Klrg1/Klrh1/Mbl1/Mbl2/Sftpa1/Sftpd	Fibrinogen_C/Lectin_C	554	75.68	23.45	no
Ocupat_v02_G008931			5198	96.72	23.36	no
Ocupat_v02_G039170		Kunitz_BPTI	815	27.36	21.38	no
Ocupat_v02_G010106		Kunitz_BPTI	607	64.64	20.27	no
Ocupat_v02_G025073	Cuzd1/Eng/Tectb/Tgfbr3/Tgfbr3l/Umodl1/Zp1/Zp2/Zp3/Zpld1	FXa_inhibition/Zona_pellucida	590	91.9	20.15	no
Ocupat_v02_G038116			14230	91.88	19.67	no
Ocupat_v02_G040878	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		982	80.76	19.48	no
Ocupat_v02_G038115			19951	91.45	19.05	no
Ocupat_v02_G037112		Trefoil/Trefoil/Trefoil/Trefoil	3492	34.36	17.04	no
Ocupat_v02_G043965			2631	97.41	16.83	no
Ocupat_v02_G040877	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		659	92.56	16.26	no
Ocupat_v02_G021577	Gldn/Myoc/Olfml2a/Olfml2b	OLF	1226	66.34	15.26	no
Ocupat_v02_G026095			577	69.85	15.01	no
Ocupat_v02_G002800		Lectin_C	817	97.03	14.6	no
Ocupat_v02_G008930			1105	97.27	14.1	no
Ocupat_v02_G011780		Collagen	333	86.49	14.1	no
Ocupat_v02_G036004	Dpt	DERM	3281	97.71	13.7	no
Ocupat_v02_G025021	Grn	Granulin	1072	64.46	13.63	no
Ocupat_v02_G017648			390	23.58	13.16	no
Ocupat_v02_G031470			371	65.32	12.95	no
Ocupat_v02_G035144			381	75.15	12.44	no
Ocupat_v02_G029054	Apcs/Crp/Mptx1/Mptx2/Nptx1/Nptx2/Nptxr/Ptx3/Ptx4	Pentaxin/Pentaxin	2080	53.66	12.31	no
Ocupat_v02_G008932			2423	97.11	12.05	no
Ocupat_v02_G025035	Dpt/Hyal1/Hyal2/Hyal3/Hyal4/Hyal5/Hyal6/Spam1	Glyco_hydro_56/DERM	2088	91.18	11.95	no
Ocupat_v02_G005167	Angpt1/Angpt2/Angpt4/Angptl1/Angptl2/Angptl3/Angptl4/Angptl6/Angptl7/Fcna/Fcnb/Fga/Fgb/Fgg/Fgl1/Fgl2/Fibcd1/Igsf23/Mfap4/Tnc/Tnn/Tnr/Tnxb	Fibrinogen_C/Fibrinogen_C	346	95.32	10.65	no
Ocupat_v02_G010337	Cblif/Tcn2	Cobalamin_bind/DUF4430	348	9.58	10.29	no
Ocupat_v02_G025143		CBM_14/TSP_1/CBM_14	472	11.37	10.2	no
Ocupat_v02_G035146			347	31.21	10.15	no
Ocupat_v02_G043015		Gal_Lectin/Gal_Lectin	1293	97.07	10.14	no
Ocupat_v02_G036006	Dpt	DERM	3185	98	10.04	no
Ocupat_v02_G012960	Cthrc1	Collagen/Collagen	232	77.08	9.95	no
Ocupat_v02_G012882	Cthrc1		302	18.07	9.9	no
Ocupat_v02_G003671			219	27.55	9.46	no
Ocupat_v02_G026094			291	7.86	9.08	no
Ocupat_v02_G036013	Wap/Wfdc17/Wfdc18/Wfdc2/Wfdc21/Wfdc3	WAP	259	19.83	8.91	no
Ocupat_v02_G043967			1421	96.93	8.87	no
Ocupat_v02_G012880	Cthrc1	Collagen/Collagen	202	90.99	8.76	no
Ocupat_v02_G039325		COLFI	340	95.77	8.74	no
Ocupat_v02_G002799		UPAR_LY6/Lectin_C	501	85.2	8.7	no
Ocupat_v02_G002798		Ig_3/Lectin_C	258	50.89	8.34	no
Ocupat_v02_G037114		Trefoil/Trefoil/Trefoil	570	21.25	8.34	no
Ocupat_v02_G043966		Peptidase_M15_4	935	98.01	8.22	no
Ocupat_v02_G036008	Wap/Wfdc17/Wfdc18/Wfdc2/Wfdc21/Wfdc3	WAP	188	43.93	8.21	no
Ocupat_v02_G040744			219	96.05	7.96	no
Ocupat_v02_G042931		CUB/CUB/CUB/CUB/CUB	336	59.36	7.83	no
Ocupat_v02_G040575			1122	77.81	7.02	no
Ocupat_v02_G040574			452	97	6.94	no
Ocupat_v02_G036671			250	55.56	6.88	no
