gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
Ocupat_v02_G035261		C8/TIL/C8	934	79.76	67.73	no
Ocupat_v02_G032686			1129	79.96	66.6	no
Ocupat_v02_G040264		TSP_1/TSP_1/TSP_1	1546	72.62	65.64	no
Ocupat_v02_G025022			2306	63.81	54.51	no
Ocupat_v02_G018255			3028	74.77	52.2	no
Ocupat_v02_G036941	Aebp1/Cpxm1/Cpxm2/Dcbld1/Dcbld2/Edil3/F5/F8/Ly75/Mfge8/Mrc1/Mrc2/Nrp1/Nrp2/Pla2r1/Rs1	F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1	864	64.33	44.13	no
Ocupat_v02_G007910	Cd40lg/Fasl/Lta/Ltb/Tnf/Tnfsf10/Tnfsf11/Tnfsf14/Tnfsf15	TNF	521	63.69	40.34	no
Ocupat_v02_G030200			672	5.94	33.44	no
Ocupat_v02_G036252			1571	89.67	30.65	no
Ocupat_v02_G031942			364	44.23	28.73	no
Ocupat_v02_G040686	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		2281	96.9	26.25	no
Ocupat_v02_G035116		Lectin_C/Lectin_C	400	80.32	26.23	no
Ocupat_v02_G037113			543	28.27	25.27	no
Ocupat_v02_G043011		Gal_Lectin/Gal_Lectin/Gal_Lectin/Gal_Lectin	875	74.53	25.26	no
Ocupat_v02_G043012		Gal_Lectin/Gal_Lectin	703	60.55	22.6	no
Ocupat_v02_G037280			349	1.56	20.28	no
Ocupat_v02_G041017		CBM_14/CBM_14	309	31.12	19.94	no
Ocupat_v02_G021482	Col6a1/Col6a2/Wfdc8	VWA/TSP_1/TSP_1/VWA/TSP_1/VWA	280	82.84	19.03	no
Ocupat_v02_G028113			260	81.25	17.66	no
Ocupat_v02_G036780			228	47.8	16.69	no
Ocupat_v02_G027570			310	88.32	16.28	no
Ocupat_v02_G044538			382	81.62	16.27	no
Ocupat_v02_G034150	Sod3	Sod_Cu/Sod_Cu	177	39.42	16.25	no
Ocupat_v02_G002565			167	58.8	15.7	no
Ocupat_v02_G038498			275	11.36	14.05	no
Ocupat_v02_G022182		Trefoil/Trefoil	1412	4.43	13.63	no
Ocupat_v02_G001003			326	73.76	13.57	no
Ocupat_v02_G036255			755	20.1	13.57	no
Ocupat_v02_G035648		FKBP_C/EF-hand_7	241	45.73	12.7	no
Ocupat_v02_G008318	Ly6g6d	UPAR_LY6_2	359	2.14	12.68	no
Ocupat_v02_G041449			423	9.69	12.43	no
Ocupat_v02_G022179		Trefoil/Trefoil	1569	4.2	12.42	no
Ocupat_v02_G002379			148	32.82	12.19	no
Ocupat_v02_G039401	Spon2	Spond_N/Spond_N	166	1.35	11.98	no
Ocupat_v02_G031252			572	81.13	11.84	no
Ocupat_v02_G020881	Cep162		460	66.67	11.65	no
Ocupat_v02_G040303	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		444	52.05	11.43	no
Ocupat_v02_G026718		Tubulin/Tubulin_C	124	2.82	10.91	no
Ocupat_v02_G041595			106	65.43	10.87	no
Ocupat_v02_G031078		TLD	300	80.86	10.83	no
Ocupat_v02_G003275	Nrg1/Nrg2	EGF	152	69.41	10.79	no
Ocupat_v02_G009930		ShK/CAP	148	5.3	10.75	no
Ocupat_v02_G013512	Calm4	EF-hand_7/EF-hand_7/EF-hand_7/EF-hand_7	129	2.8	10.53	no
Ocupat_v02_G039339		Fibrinogen_C	711	70.54	10.42	no
Ocupat_v02_G033091			215	66.56	10.4	no
Ocupat_v02_G022181		Trefoil/Trefoil	510	3.88	10.31	no
Ocupat_v02_G037343			78	63.93	9.69	no
Ocupat_v02_G029770			289	42.07	9.55	no
Ocupat_v02_G036940	Aebp1/Cpxm1/Cpxm2/Dcbld1/Dcbld2/Edil3/F5/F8/Ly75/Mfge8/Mrc1/Mrc2/Nrp1/Nrp2/Pla2r1/Rs1	F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/TSP_1/TSP_1/TSP_1/TSP_1	451	57.82	9.22	no
Ocupat_v02_G040679	Crb2/Dlk1/Dlk2/Efemp1/Egfl7/Egfl8/Heg1/Mmrn1/Pamr1		466	76.52	8.75	no
Ocupat_v02_G043924		MACPF	76	66.67	8.67	no
Ocupat_v02_G030150	Cfl1/Cfl2/Dstn	Cofilin_ADF	93	34.7	8.64	no
