gene ID	gene name	PFAM domain	total UMIs	% UMIs	median fc	tf
Ocupat_v02_G032246		DUF4773/DUF4773	20234	87.81	289.03	no
Ocupat_v02_G028790		Macin	10838	33.38	127.43	no
Ocupat_v02_G037216		Ig_3	12024	95.25	123.69	no
Ocupat_v02_G006845			12953	44.76	94.11	no
Ocupat_v02_G021715			4050	17.39	65.25	no
Ocupat_v02_G026718		Tubulin/Tubulin_C	1768	40.24	43.52	no
Ocupat_v02_G011543		Lipase_3	1718	70.07	33.3	no
Ocupat_v02_G007643			1120	93.65	26.98	no
Ocupat_v02_G018985			7014	37.05	25.96	no
Ocupat_v02_G037215			1534	93.48	24.17	no
Ocupat_v02_G037280			2411	10.8	23.46	no
Ocupat_v02_G000399	Ttc28	RVT_1/TPR_12/TPR_12/TPR_7/TPR_12/TPR_12/CHAT	905	83.33	23.15	no
Ocupat_v02_G001516	Mpeg1/Pfpl	MACPF	1477	35.65	22.91	no
Ocupat_v02_G037991	Acta1/Acta2/Actb/Actbl2/Actc1/Actg1/Actg2	Actin	2304	12.21	20.83	no
Ocupat_v02_G041579	Epdr1		4015	4.06	20.34	no
Ocupat_v02_G037613		7tm_1	679	91.63	19.32	no
Ocupat_v02_G017124		Peptidase_M15_4	1132	34.18	18.89	no
Ocupat_v02_G032009	Ctsb	Peptidase_C1	3702	6.48	16.26	no
Ocupat_v02_G012632			660	60.05	15.65	no
Ocupat_v02_G030264			738	14.01	15.58	no
Ocupat_v02_G043162		Thioredoxin	1780	19.29	14.96	no
Ocupat_v02_G032254	IRF:like:Irf1/Irf2	IRF	565	61.08	14.83	yes
Ocupat_v02_G042885			582	38.65	14.62	no
Ocupat_v02_G017770	Eda2r/Edar/Fas/Ngfr/Nradd/Relt/Tnfrsf10b/Tnfrsf19/Tnfrsf26/Tnfrsf4	TNFR_c6	570	76.41	14.57	no
Ocupat_v02_G040042	Npc2	E1_DerP2_DerF2/E1_DerP2_DerF2	788	21.71	14.23	no
Ocupat_v02_G028517		ig/Pkinase_Tyr	433	45.48	13.11	no
Ocupat_v02_G030430	Fgf10/Fgf11/Fgf12/Fgf13/Fgf14/Fgf16/Fgf20/Fgf22/Fgf3/Fgf4/Fgf5/Fgf6/Fgf7/Fgf9	FGF	562	93.36	12.53	no
